uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
út 18.06.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,641 Kč,5       
út 04.06.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,641 Kč,5       
po 20.05.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1170 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,po 06:15 Praha ,FAO,18:15 Faro ,Ryanair,641 Kč,4       
čt 09.05.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1170 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,641 Kč,       
st 22.05.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1170 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,641 Kč,4       
st 15.05.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1170 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,3       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,641 Kč,       
út 21.05.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,641 Kč,       
pá 17.05.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1170 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,pá 06:15 Praha ,FAO,15:50 Faro ,Ryanair,641 Kč,       
čt 16.05.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1198 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,669 Kč,5       
čt 20.06.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1198 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,669 Kč,5       
st 19.06.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1198 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,669 Kč,       
út 30.04.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1198 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,669 Kč,       
út 12.03.2019,PRG,07:20,FAO,22:05 Faro ,15:45 h / 1 přestup,1211 Kč,PRG,07:20,STN,08:30 Londýn ,Ryanair,676 Kč,2       ,STN,út 07:20 Praha ,FAO,22:05 Faro ,Ryanair,534 Kč,1       
út 14.05.2019,PRG,06:35,FAO,18:55 Faro ,13:20 h / 1 přestup,1212 Kč,PRG,06:35,STN,07:35 Londýn ,Ryanair,529 Kč,       ,STN,út 06:35 Praha ,FAO,18:55 Faro ,Ryanair,683 Kč,2       
st 29.05.2019,PRG,06:35,FAO,20:55 Faro ,15:20 h / 1 přestup,1212 Kč,PRG,06:35,STN,07:35 Londýn ,Ryanair,529 Kč,       ,STN,st 06:35 Praha ,FAO,20:55 Faro ,Ryanair,683 Kč,4       
út 02.04.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,779 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,333 Kč,3       ,LGW,út 12:25 Praha ,FAO,21:50 Faro ,easyJet,445 Kč,3       
st 19.06.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1240 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,711 Kč,5       
st 12.06.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1240 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,711 Kč,3       
út 05.02.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,1240 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,529 Kč,3       ,EIN,út 11:35 Praha ,FAO,21:35 Faro ,Ryanair,711 Kč,2       
út 12.02.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,1240 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,529 Kč,       ,EIN,út 11:35 Praha ,FAO,21:35 Faro ,Ryanair,711 Kč,2       
út 19.02.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,1240 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,529 Kč,       ,EIN,út 11:35 Praha ,FAO,21:35 Faro ,Ryanair,711 Kč,4       
st 15.05.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1240 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,711 Kč,3       
st 26.06.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1240 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,711 Kč,       
st 08.05.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1240 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,711 Kč,       
st 27.02.2019,PRG,07:20,FAO,22:05 Faro ,15:45 h / 1 přestup,1258 Kč,PRG,07:20,STN,08:30 Londýn ,Ryanair,962 Kč,4       ,STN,st 07:20 Praha ,FAO,22:05 Faro ,Ryanair,296 Kč,1       
po 01.04.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1266 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,676 Kč,1       ,CRL,po 06:15 Praha ,FAO,18:15 Faro ,Ryanair,590 Kč,3       
st 03.04.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1281 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,485 Kč,       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,795 Kč,4       
čt 07.03.2019,PRG,07:20,FAO,22:05 Faro ,15:45 h / 1 přestup,1286 Kč,PRG,07:20,STN,08:30 Londýn ,Ryanair,485 Kč,2       ,STN,čt 07:20 Praha ,FAO,22:05 Faro ,Ryanair,800 Kč,       
po 13.05.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1318 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,676 Kč,1       ,CRL,po 06:15 Praha ,FAO,18:15 Faro ,Ryanair,641 Kč,       
po 03.06.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1318 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,676 Kč,3       ,CRL,po 06:15 Praha ,FAO,18:15 Faro ,Ryanair,641 Kč,       
st 08.05.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1318 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,676 Kč,1       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,641 Kč,       
čt 02.05.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1324 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,795 Kč,5       
út 07.05.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1324 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,795 Kč,       
so 18.05.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1324 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,so 06:15 Praha ,FAO,15:50 Faro ,Ryanair,795 Kč,       
st 12.06.2019,PRG,11:40,FAO,17:55 Faro ,7:15 h / 1 přestup,1329 Kč,PRG,11:40,STN,12:40 Londýn ,Ryanair,529 Kč,       ,STN,st 11:40 Praha ,FAO,17:55 Faro ,Ryanair,800 Kč,       
st 03.04.2019,PRG,10:50,FAO,19:50 Faro ,10:00 h / 1 přestup,908 Kč,PRG,10:50,SEN,11:45 Londýn ,easyJet,463 Kč,8       ,SEN,st 10:50 Praha ,FAO,19:50 Faro ,Ryanair,445 Kč,       
út 19.03.2019,PRG,11:35,FAO,18:15 Faro ,7:40 h / 1 přestup,1127 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,485 Kč,       ,EIN,út 11:35 Praha ,FAO,18:15 Faro ,Transavia,641 Kč,       
út 12.03.2019,PRG,11:35,FAO,18:15 Faro ,7:40 h / 1 přestup,1127 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,485 Kč,       ,EIN,út 11:35 Praha ,FAO,18:15 Faro ,Transavia,641 Kč,       
út 02.04.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,964 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,333 Kč,3       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,630 Kč,8       
út 26.02.2019,PRG,11:35,FAO,18:15 Faro ,7:40 h / 1 přestup,1170 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,529 Kč,       ,EIN,út 11:35 Praha ,FAO,18:15 Faro ,Transavia,641 Kč,       
po 29.04.2019,PRG,10:50,FAO,18:55 Faro ,9:05 h / 1 přestup,997 Kč,PRG,10:50,SEN,11:45 Londýn ,easyJet,463 Kč,4       ,SEN,po 10:50 Praha ,FAO,18:55 Faro ,Ryanair,534 Kč,5       
út 14.05.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,1076 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,333 Kč,4       ,LGW,út 12:25 Praha ,FAO,21:50 Faro ,easyJet,742 Kč,4       
so 30.03.2019,PRG,10:30,FAO,22:05 Faro ,12:35 h / 1 přestup,1104 Kč,PRG,10:30,STN,11:30 Londýn ,easyJet,303 Kč,3       ,STN,so 10:30 Praha ,FAO,22:05 Faro ,Ryanair,800 Kč,       
so 11.05.2019,PRG,15:10,FAO,22:10 Faro ,8:00 h / 1 přestup,1134 Kč,PRG,15:10,STN,16:05 Londýn ,easyJet,333 Kč,4       ,STN,so 15:10 Praha ,FAO,22:10 Faro ,Ryanair,800 Kč,       
út 14.05.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1136 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,333 Kč,4       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,802 Kč,1       
út 26.03.2019,PRG,12:35,FAO,20:15 Faro ,8:40 h / 1 přestup,1175 Kč,PRG,12:35,LGW,13:45 Londýn ,easyJet,274 Kč,3       ,LGW,út 12:35 Praha ,FAO,20:15 Faro ,easyJet,900 Kč,4       
út 30.04.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,1181 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,735 Kč,5       ,LGW,út 12:25 Praha ,FAO,21:50 Faro ,easyJet,445 Kč,1       
so 16.03.2019,PRG,10:30,FAO,22:05 Faro ,12:35 h / 1 přestup,1198 Kč,PRG,10:30,STN,11:30 Londýn ,easyJet,664 Kč,1       ,STN,so 10:30 Praha ,FAO,22:05 Faro ,Ryanair,534 Kč,       
po 20.05.2019,PRG,10:50,FAO,18:55 Faro ,9:05 h / 1 přestup,1203 Kč,PRG,10:50,SEN,11:45 Londýn ,easyJet,402 Kč,8       ,SEN,po 10:50 Praha ,FAO,18:55 Faro ,Ryanair,800 Kč,       
st 29.05.2019,PRG,15:05,FAO,20:55 Faro ,6:50 h / 1 přestup,1206 Kč,PRG,15:05,STN,15:55 Londýn ,easyJet,523 Kč,6       ,STN,st 15:05 Praha ,FAO,20:55 Faro ,Ryanair,683 Kč,4       
st 03.04.2019,PRG,15:05,FAO,20:55 Faro ,6:50 h / 1 přestup,1263 Kč,PRG,15:05,STN,15:55 Londýn ,easyJet,342 Kč,8       ,STN,st 15:05 Praha ,FAO,20:55 Faro ,Ryanair,921 Kč,       
st 29.05.2019,PRG,10:50,FAO,19:50 Faro ,10:00 h / 1 přestup,1293 Kč,PRG,10:50,SEN,11:45 Londýn ,easyJet,493 Kč,5       ,SEN,st 10:50 Praha ,FAO,19:50 Faro ,Ryanair,800 Kč,       
po 13.05.2019,PRG,12:25,FAO,21:25 Faro ,10:00 h / 1 přestup,1300 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,735 Kč,1       ,LGW,po 12:25 Praha ,FAO,21:25 Faro ,easyJet,564 Kč,4       
st 25.09.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1118 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,589 Kč,       
út 17.09.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1118 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,589 Kč,2       
st 11.09.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1170 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,641 Kč,       
čt 19.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1366 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,837 Kč,       
pá 13.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1366 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,pá 06:15 Praha ,FAO,15:50 Faro ,Ryanair,837 Kč,       
st 04.09.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1366 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,837 Kč,       
po 30.09.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1366 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,po 06:15 Praha ,FAO,18:15 Faro ,Ryanair,837 Kč,       
st 25.09.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1418 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,889 Kč,       
st 18.09.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1418 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,889 Kč,4       
st 04.09.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1418 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,889 Kč,       
st 18.09.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1435 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,845 Kč,5       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,589 Kč,4       
út 24.09.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1435 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,845 Kč,5       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,589 Kč,       
po 23.09.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1435 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,845 Kč,5       ,CRL,po 06:15 Praha ,FAO,18:15 Faro ,Ryanair,589 Kč,       
čt 26.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1435 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,845 Kč,5       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,589 Kč,       
čt 12.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1435 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,845 Kč,5       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,589 Kč,       
st 02.10.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1486 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,845 Kč,5       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,641 Kč,       
čt 17.10.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1486 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,845 Kč,5       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,641 Kč,       
po 07.10.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1486 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,845 Kč,5       ,CRL,po 06:15 Praha ,FAO,18:15 Faro ,Ryanair,641 Kč,       
út 08.10.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1486 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,845 Kč,5       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,641 Kč,       
st 11.09.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1523 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,994 Kč,       
pá 20.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1523 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,pá 06:15 Praha ,FAO,15:50 Faro ,Ryanair,994 Kč,       
so 14.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1523 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,so 06:15 Praha ,FAO,15:50 Faro ,Ryanair,994 Kč,       
st 09.10.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1602 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,1073 Kč,       
út 10.09.2019,PRG,06:35,FAO,20:55 Faro ,15:20 h / 1 přestup,1613 Kč,PRG,06:35,STN,07:35 Londýn ,Ryanair,1018 Kč,5       ,STN,út 06:35 Praha ,FAO,20:55 Faro ,Ryanair,594 Kč,1       
út 10.09.2019,PRG,15:05,FAO,20:55 Faro ,6:50 h / 1 přestup,1330 Kč,PRG,15:05,STN,15:55 Londýn ,easyJet,735 Kč,7       ,STN,út 15:05 Praha ,FAO,20:55 Faro ,Ryanair,594 Kč,1       
út 10.09.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,1364 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,523 Kč,6       ,LGW,út 12:25 Praha ,FAO,21:50 Faro ,easyJet,840 Kč,6       
so 05.10.2019,PRG,15:10,FAO,21:45 Faro ,7:35 h / 1 přestup,1364 Kč,PRG,15:10,LGW,16:20 Londýn ,easyJet,523 Kč,4       ,LGW,so 15:10 Praha ,FAO,21:45 Faro ,easyJet,840 Kč,5       
po 30.09.2019,PRG,12:25,FAO,21:25 Faro ,10:00 h / 1 přestup,1366 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,675 Kč,2       ,LGW,po 12:25 Praha ,FAO,21:25 Faro ,easyJet,690 Kč,8       
út 15.10.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1395 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,584 Kč,3       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,810 Kč,8       
út 01.10.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,1395 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,584 Kč,4       ,LGW,út 12:25 Praha ,FAO,21:50 Faro ,easyJet,810 Kč,6       
pá 11.10.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1454 Kč,PRG,12:25,LGW,13:40 Londýn ,easyJet,523 Kč,5       ,LGW,pá 12:25 Praha ,FAO,19:25 Faro ,easyJet,930 Kč,2       
út 24.09.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,1456 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,766 Kč,5       ,LGW,út 12:25 Praha ,FAO,21:50 Faro ,easyJet,690 Kč,5       
pá 11.10.2019,PRG,12:25,FAO,21:25 Faro ,10:00 h / 1 přestup,1484 Kč,PRG,12:25,LGW,13:40 Londýn ,easyJet,523 Kč,5       ,LGW,pá 12:25 Praha ,FAO,21:25 Faro ,easyJet,960 Kč,7       
út 10.09.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1484 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,523 Kč,6       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,960 Kč,5       
út 01.10.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1485 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,584 Kč,4       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,900 Kč,7       
po 09.09.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1487 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,796 Kč,7       ,LGW,po 12:25 Praha ,FAO,19:25 Faro ,easyJet,690 Kč,5       
po 30.09.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1516 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,675 Kč,2       ,LGW,po 12:25 Praha ,FAO,19:25 Faro ,easyJet,840 Kč,5       
út 24.09.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1516 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,766 Kč,5       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,750 Kč,2       
út 02.07.2019,PRG,16:35,FAO,23:30 Faro ,7:55 h / 1 přestup,1524 Kč,PRG,16:35,MAN,17:50 Manchester ,easyJet,584 Kč,6       ,MAN,út 16:35 Praha ,FAO,23:30 Faro ,Ryanair,939 Kč,       
st 02.10.2019,PRG,12:25,FAO,21:25 Faro ,10:00 h / 1 přestup,1544 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,523 Kč,3       ,LGW,st 12:25 Praha ,FAO,21:25 Faro ,easyJet,1021 Kč,6       
út 08.10.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1544 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,523 Kč,8       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,1021 Kč,1       
út 22.10.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1546 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,735 Kč,2       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,810 Kč,8       
po 21.10.2019,PRG,12:25,FAO,21:25 Faro ,10:00 h / 1 přestup,1546 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,735 Kč,1       ,LGW,po 12:25 Praha ,FAO,21:25 Faro ,easyJet,810 Kč,5       
út 20.08.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,1547 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,796 Kč,5       ,LGW,út 12:25 Praha ,FAO,21:50 Faro ,easyJet,750 Kč,5       
út 20.08.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1547 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,796 Kč,5       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,750 Kč,3       
st 09.10.2019,PRG,12:25,FAO,21:25 Faro ,10:00 h / 1 přestup,1575 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,554 Kč,3       ,LGW,st 12:25 Praha ,FAO,21:25 Faro ,easyJet,1021 Kč,5       
so 21.09.2019,PRG,15:10,FAO,21:45 Faro ,7:35 h / 1 přestup,1576 Kč,PRG,15:10,LGW,16:20 Londýn ,easyJet,675 Kč,4       ,LGW,so 15:10 Praha ,FAO,21:45 Faro ,easyJet,900 Kč,8       
st 04.09.2019,PRG,12:25,FAO,21:25 Faro ,10:00 h / 1 přestup,1576 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,735 Kč,1       ,LGW,st 12:25 Praha ,FAO,21:25 Faro ,easyJet,840 Kč,2       
po 09.09.2019,PRG,12:25,FAO,21:25 Faro ,10:00 h / 1 přestup,1577 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,796 Kč,7       ,LGW,po 12:25 Praha ,FAO,21:25 Faro ,easyJet,780 Kč,3       
so 14.09.2019,PRG,15:10,FAO,21:45 Faro ,7:35 h / 1 přestup,1578 Kč,PRG,15:10,LGW,16:20 Londýn ,easyJet,887 Kč,6       ,LGW,so 15:10 Praha ,FAO,21:45 Faro ,easyJet,690 Kč,5       
so 28.09.2019,PRG,15:10,FAO,21:45 Faro ,7:35 h / 1 přestup,1578 Kč,PRG,15:10,LGW,16:20 Londýn ,easyJet,887 Kč,3       ,LGW,so 15:10 Praha ,FAO,21:45 Faro ,easyJet,690 Kč,4       
ne 29.09.2019,PRG,12:30,FAO,21:05 Faro ,9:35 h / 1 přestup,1578 Kč,PRG,12:30,LGW,13:40 Londýn ,easyJet,887 Kč,6       ,LGW,ne 12:30 Praha ,FAO,21:05 Faro ,easyJet,690 Kč,8       
so 05.10.2019,PRG,15:10,FAO,22:10 Faro ,8:00 h / 1 přestup,1584 Kč,PRG,15:10,STN,16:05 Londýn ,easyJet,584 Kč,3       ,STN,so 15:10 Praha ,FAO,22:10 Faro ,Ryanair,1000 Kč,       
